block height of fork,diff,winner_timestamp,loser_timestamp,next_block_timestamp,number of peers that have announced first block before the first reception of the second block,winner_id,loser_id,next_block_id
387528,4283,1449685611.49,1449685607.207,1449685909.71,2,AntPool,BitFury,F2Pool
387564,-2675,1449705326.425,1449705329.1,1449705519.662,-84,F2Pool,BW.COM,BitClub Network
387889,-1640,1449853533.061,1449853534.701,1449853714.016,-55,F2Pool,AntPool,AntPool
387948,311,1449881668.777,1449881668.466,1449882409.543,1,F2Pool,BitFury,Eligius
387972,-1779,1449899037.948,1449899039.727,1449899212.83,-9,AntPool,BitClub Network,F2Pool
388099,-153284,1449962111.342,1449962264.626,1449962169.391,-3387,AntPool,BitFury,BW.COM
388131,-7164,1449984702.675,1449984709.839,1449985771.443,-1589,F2Pool,BitFury,BTCC Pool
388222,5969,1450036804.732,1450036798.763,1450037109.374,101,KnCMiner,BW.COM,KnCMiner
388275,-2398,1450062346.062,1450062348.46,1450062476.277,-6,AntPool,F2Pool,AntPool
388356,-9500,1450101251.916,1450101261.416,1450101691.649,-1293,AntPool,BitFury,KnCMiner
388477,-9588,1450155512.466,1450155522.054,1450155955.033,-1981,AntPool,SlushPool,F2Pool
388538,-11090,1450179567.39,1450179578.48,1450179657.491,-2442,BW.COM,BitFury,F2Pool
388579,-4041,1450199990.316,1450199994.357,1450200331.795,-230,BW.COM,GHash.IO,BitFury
388608,10002,1450214956.412,1450214946.41,1450215067.815,2,AntPool,BitFury,BTCC Pool
388634,-50654,1450230201.007,1450230251.661,1450230334.385,-2811,BitFury,AntPool,KnCMiner
388786,-5667,1450310143.716,1450310149.383,1450310710.927,-72,AntPool,KnCMiner,BitFury
388907,-6859,1450374079.445,1450374086.304,1450374298.816,-774,AntPool,Telco 214,BTCC Pool
388936,-352,1450392061.643,1450392061.995,1450392111.544,-1,BW.COM,AntPool,BW.COM
389070,-847,1450461931.883,1450461932.73,1450463077.887,-3,AntPool,KnCMiner,BTCC Pool
389074,3149,1450464015.411,1450464012.262,1450464503.495,48,AntPool,KnCMiner,AntPool
389102,-574,1450474869.041,1450474869.615,1450475494.507,-10,KnCMiner,AntPool,F2Pool
389204,-36273,1450537806.885,1450537843.158,1450538056.614,-2910,F2Pool,AntPool,AntPool
389406,-15314,1450643725.188,1450643740.502,1450644241.604,-3,BitFury,F2Pool,AntPool
392861,-2681,1452535463.692,1452535466.373,1452536466.881,-1511,F2Pool,Telco 214,F2Pool
394059,-3369,1453237815.383,1453237818.752,1453238297.128,-193,KanoPool,BitMinter,F2Pool
394081,-2081,1453250686.668,1453250688.749,1453250789.401,-64,BW.COM,F2Pool,Telco 214
394751,-23277,1453615970.648,1453615993.925,1453617148.031,-2790,BTCC Pool,BitFury,F2Pool
395001,-843,1453738211.843,1453738212.686,1453740206.024,-24,AntPool,BitFury,BW.COM
395800,-30197,1454166877.56,1454166907.757,1454167127.356,-3019,F2Pool,BitFury,BitFury
396104,-12078,1454313674.187,1454313686.265,1454313725.431,-2589,BW.COM,AntPool,F2Pool
396985,235,1454747058.514,1454747058.279,1454747141.006,1,F2Pool,AntPool,AntPool
397255,-4636,1454869234.609,1454869239.245,1454869305.61,-18,BitFury,SlushPool,BW.COM
397292,-5526,1454886346.083,1454886351.609,1454886935.355,-617,AntPool,KnCMiner,F2Pool
397486,705,1454993742.758,1454993742.053,1454994112.219,6,KanoPool,Eligius,BitFury
398191,-4031,1455346608.511,1455346612.542,1455347035.843,-331,AntPool,SlushPool,F2Pool
398205,-4965,1455357579.122,1455357584.087,1455357785.154,-530,F2Pool,BitFury,BW.COM
398418,-1039,1455466377.821,1455466378.86,1455466634.95,-22,F2Pool,BTCC Pool,BW.COM
399098,-2863,1455844695.149,1455844698.012,1455845063.823,-5,BitFury,F2Pool,AntPool
399138,-5169,1455866118.838,1455866124.007,1455866292.269,-1686,AntPool,SlushPool,F2Pool
399332,-1621,1455981759.516,1455981761.137,1455982977.321,-11,AntPool,GHash.IO,BitFury
399706,13606,1456228117.984,1456228104.378,1456228404.799,4,AntPool,BitFury,BitFury
399879,-1127644,1456348469.097,1456349596.741,1456349174.112,-1542,SlushPool,AntPool,BW.COM
399888,-763578,1456356658.889,1456357422.467,1456357406.013,-1734,KnCMiner,myBTCcoin Pool,F2Pool
400119,678,1456484335.35,1456484334.672,1456484941.77,1,BTCC Pool,KnCMiner,BTCC Pool
401626,-2319,1457399260.364,1457399262.683,1457399941.134,-89,BTCC Pool,SlushPool,F2Pool
402609,-2714,1457955998.094,1457956000.808,1457956164.522,-21,1Hash,KanoPool,BTCC Pool
402723,-876,1458022188.065,1458022188.941,1458022272.528,-19,BitClub Network,BTCC Pool,AntPool
402751,-1227,1458035882.153,1458035883.38,1458036107.911,-12,AntPool,BitClub Network,F2Pool
402922,2896,1458131680.534,1458131677.638,1458132958.049,5,BTCC Pool,BitFury,BTCC Pool
404120,-53323,1458852184.025,1458852237.348,1458853340.201,-4284,F2Pool,BitClub Network,BTCC Pool
404145,247,1458867538.122,1458867537.875,1458867894.333,7,BTCC Pool,SlushPool,F2Pool
404812,4405,1459246697.637,1459246693.232,1459247573.434,5,F2Pool,BitFury,BTCC Pool
406197,543,1460053480.922,1460053480.379,1460055324.904,47,AntPool,KanoPool,AntPool
406597,-345,1460274534.436,1460274534.781,1460274656.518,-8,BTCC Pool,KnCMiner,BW.COM
406617,-2500,1460282373.006,1460282375.506,1460283196.126,-900,KnCMiner,AntPool,AntPool
406906,-2505,1460444128.623,1460444131.128,1460444641.361,-13,BW.COM,KanoPool,F2Pool
406948,25913,1460469130.561,1460469104.648,1460469675.863,8,BTCC Pool,BitFury,F2Pool
410208,-799,1462375756.474,1462375757.273,1462376394.502,-38,BTCC Pool,KanoPool,F2Pool
410945,146,1462772258.356,1462772258.21,1462772525.537,33,BTCC Pool,SlushPool,BTCC Pool
412492,-148,1463701592.241,1463701592.389,1463701635.31,-1,BW.COM,AntPool,F2Pool
412973,-175,1463963841.114,1463963841.289,1463963927.041,-11,F2Pool,SlushPool,F2Pool
413477,-1996,1464253634.112,1464253636.108,1464256825.51,-22,AntPool,BitClub Network,BTCC Pool
414016,-1037,1464586256.548,1464586257.585,1464587056.325,-18,F2Pool,BitFury,AntPool
415144,-109,1465259373.165,1465259373.274,1465259463.458,-1,F2Pool,BTCC Pool,F2Pool
416930,3830,1466291447.018,1466291443.188,1466292550.652,3,F2Pool,BitFury,F2Pool
417845,-2513,1466822725.86,1466822728.373,1466823154.452,-66,Bixin,BW.COM,F2Pool
417874,-1185,1466838646.615,1466838647.8,1466838672.402,-71,BTCC Pool,KanoPool,F2Pool
417946,1525,1466880990.044,1466880988.519,1466881089.716,27,BitFury,F2Pool,BitFury
417949,-323,1466881521.958,1466881522.281,1466881787.93,-1,Bixin,KanoPool,F2Pool
418359,-75,1467119412.052,1467119412.127,1467119497.095,-2,BitFury,BTCC Pool,KnCMiner
418800,-1414,1467365181.118,1467365182.532,1467365307.475,-42,AntPool,185.24.97.11,BitClub Network
422058,-2498,1469348474.625,1469348477.123,1469350280.319,-961,Bixin,AntPool,52.8.223.185
422091,-392,1469370980.416,1469370980.808,1469372500.128,-3,BTCC Pool,AntPool,F2Pool
422573,939,1469695703.988,1469695703.049,1469695839.443,9,BTCC Pool,BitClub Network,BW.COM
423365,-83,1470165841.151,1470165841.234,1470166027.809,0,F2Pool,AntPool,GHash.IO
423508,928,1470244039.075,1470244038.147,1470244523.842,20,F2Pool,BitFury,ViaBTC
424032,-50,1470517590.339,1470517590.389,1470517951.794,-1,BW.COM,F2Pool,BTCC Pool
424370,-1139,1470717584.144,1470717585.283,1470718480.182,-28,F2Pool,BitFury,KnCMiner
424523,-386,1470812239.979,1470812240.365,1470812932.792,-16,ViaBTC,BitFury,BW.COM
425520,-470,1471388954.435,1471388954.905,1471389332.311,-1,AntPool,BW.COM,BTCC Pool
425957,745,1471651582.359,1471651581.614,1471651935.452,14,BW.COM,AntPool,BitClub Network
426680,336,1472055848.244,1472055847.908,1472056983.579,2,ViaBTC,BitFury,F2Pool
427560,-1264,1472579722.818,1472579724.082,1472583306.855,-292,BW.COM,KnCMiner,BitClub Network
427669,-316,1472649490.433,1472649490.749,1472649730.122,0,BitFury,KanoPool,BitFury
429014,1076,1473443584.408,1473443583.332,1473444371.898,3,BTCC Pool,AntPool,ViaBTC
429534,-1766,1473726727.556,1473726729.322,1473727022.28,-136,AntPool,GoGreenLight,BitFury
430009,1553,1473985765.713,1473985764.16,1473986305.473,67,KanoPool,F2Pool,SlushPool
430732,1375,1474414915.348,1474414913.973,1474415506.763,22,BTCC Pool,AntPool,BTCC Pool
431289,1328,1474737063.329,1474737062.001,1474737865.228,25,BW.COM,AntPool,F2Pool
431400,-173,1474781384.851,1474781385.024,1474781434.536,-1,F2Pool,BW.COM,AntPool
431715,579,1474948941.208,1474948940.629,1474949465.994,22,GoGreenLight,F2Pool,BitClub Network
431819,-775,1475008604.868,1475008605.643,1475008719.298,-1,SlushPool,BitFury,AntPool
432662,-6379,1475500155.443,1475500161.822,1475500838.199,-2665,ViaBTC,BTCC Pool,ViaBTC
433225,1035,1475802303.181,1475802302.146,1475803123.306,95,Bixin,BitFury,BTCC Pool
433802,-5354,1476136171.06,1476136176.414,1476137376.203,-1314,BTCC Pool,GBMiners,F2Pool
434061,-1970,1476294805.377,1476294807.347,1476295469.821,-405,AntPool,SlushPool,BitFury
434969,-959,1476867558.396,1476867559.355,1476868567.92,-209,BW.COM,SlushPool,Telco 214
436044,-2098,1477523897.501,1477523899.599,1477523916.3,-284,BitClub Network,AntPool,Telco 214
437108,1437,1478132881.122,1478132879.685,1478133793.786,27,BW.COM,BitFury,BTCC Pool
437418,-377,1478325457.312,1478325457.689,1478325710.276,-52,BitFury,Bitcoin.com,F2Pool
437584,-597,1478426557.468,1478426558.065,1478426699.365,-26,BitFury,BW.COM,SlushPool
438669,162,1479018837.566,1479018837.404,1479019229.877,1,AntPool,shawnp0wers,1Hash
439244,-47,1479319673.879,1479319673.926,1479320029.619,-5,BW.COM,BitFury,AntPool
439973,305,1479758668.809,1479758668.504,1479760130.916,1,BTC.com,F2Pool,AntPool
440364,-78,1479997858.714,1479997858.792,1479997899.577,-3,BitFury,BTC.com,BitFury
440387,2,1480006283.752,1480006283.75,1480006390.046,1,KanoPool,AntPool,BTCC Pool
440652,-233,1480158678.958,1480158679.191,1480159252.286,-20,BW.COM,GBMiners,BW.COM
441107,-87,1480417316.031,1480417316.118,1480417717.56,-1,Telco 214,GBMiners,F2Pool
441131,605,1480428319.299,1480428318.694,1480429128.634,13,BW.COM,BitFury,GBMiners
441603,-1223,1480708137.243,1480708138.466,1480709205.073,-30,BitFury,1Hash,AntPool
442268,2850,1481075727.649,1481075724.799,1481075934.265,340,AntPool,GBMiners,AntPool
442979,147,1481474638.046,1481474637.899,1481474984.493,4,BW.COM,KanoPool,AntPool
443878,-3340,1482003648.922,1482003652.262,1482003792.543,-1143,Bixin,SlushPool,1Hash
444147,764,1482158788.827,1482158788.063,1482159710.11,3,F2Pool,GBMiners,AntPool
445009,-1471,1482657339.902,1482657341.373,1482657422.677,-32,BTC.com,AntPool,BitClub Network
445033,-20,1482668501.125,1482668501.145,1482668768.952,-1,AntPool,AntPool,BW.COM
446231,-2394,1483346640.156,1483346642.55,1483350178.787,-388,BTCC Pool,BitFury,AntPool
447082,-471,1483821150.11,1483821150.581,1483821329.964,-3,1Hash,F2Pool,ViaBTC
447782,410,1484216263.978,1484216263.568,1484216524.078,2,AntPool,SlushPool,AntPool
447908,818,1484273574.565,1484273573.747,1484274056.905,9,F2Pool,Bixin,BTCC Pool
448822,-242,1484761845.92,1484761846.162,1484762294.777,-10,BW.COM,AntPool,ViaBTC
449695,488,1485203947.498,1485203947.01,1485204475.228,43,F2Pool,ViaBTC,AntPool
450115,181,1485447842.129,1485447841.948,1485447935.593,1,F2Pool,AntPool,AntPool
450683,-209,1485757776.406,1485757776.615,1485758262.368,-1,BW.COM,BATPOOL,AntPool
450784,-1404,1485814632.46,1485814633.864,1485815029.074,-70,BTC.com,1Hash,BTCC Pool
451480,-670,1486183427.04,1486183427.71,1486183583.609,-2,1Hash,AntPool,BitFury
452344,-644,1486688026.292,1486688026.936,1486688788.819,-4,EkanemBTC,BitFury,xbtc.exx.com&bw.com;
453314,-422,1487244658.133,1487244658.555,1487245163.583,-1,F2Pool,GBMiners,F2Pool
453660,-709,1487442480.115,1487442480.824,1487443437.297,-41,AntPool,BitFury,GBMiners
454184,-1373,1487768842.816,1487768844.189,1487769167.073,-700,ViaBTC,BitClub Network,BTCC Pool
454426,-450,1487913977.076,1487913977.526,1487913986.162,-1,Bixin,GBMiners,SlushPool
454448,-1023,1487926859.449,1487926860.472,1487927094.918,-23,1Hash,BitClub Network,SlushPool
455725,-710,1488630845.041,1488630845.751,1488631478.803,-2,xbtc.exx.com&bw.com;,Bixin,BitClub Network
455747,1202,1488644105.278,1488644104.076,1488645561.211,1,BTCC Pool,BitFury,GBMiners
457989,-1023,1489934513.502,1489934514.525,1489936314.216,-35,BitFury,AntPool,xbtc.exx.com&bw.com;
458364,1653,1490165435.362,1490165433.709,1490165674.328,7,BW.COM,ConnectBTC,BW.COM
458383,-113,1490176458.201,1490176458.314,1490176969.887,-31,BitFury,ViaBTC,BTC.com
461246,382,1491815604.775,1491815604.393,1491815708.505,3,AntPool,1Hash,AntPool
461952,-1412,1492236682.288,1492236683.7,1492237906.822,-144,BTCC Pool,BATPOOL,1Hash
462645,-351,1492653288.034,1492653288.385,1492654898.034,-2,BTC.TOP,BTCC Pool,BTC.com
463316,-803,1493039986.546,1493039987.349,1493040079.821,-3427,F2Pool,AntPool,KanoPool
463505,-743,1493162146.121,1493162146.864,1493162661.381,-11,Bitcoin.com,AntPool,Bixin
464185,-77,1493552431.906,1493552431.983,1493553020.298,-3,BitFury,Bixin,BitClub Network
464681,-342,1493837754.91,1493837755.252,1493838445.159,-181,ViaBTC,BTC.com,BitFury
466252,2113,1494708085.654,1494708083.541,1494708321.598,318,BW.COM,BitFury,BTC.com
466598,-483,1494889406.468,1494889406.951,1494891241.116,-4,1Hash,BitClub Network,AntPool
466705,69,1494959147.104,1494959147.035,1494959717.114,2,KanoPool,Bixin,BTCC Pool
466979,-72,1495114738.789,1495114738.861,1495115207.7,-2,AntPool,Bixin,BW.COM
467156,-107,1495218079.779,1495218079.886,1495218363.895,-4,F2Pool,Bitcoin.com,AntPool
467201,-227,1495239404.1,1495239404.327,1495239494.763,-2,SlushPool,BTCC Pool,Bixin
470307,-528,1496898693.415,1496898693.943,1496900859.367,-10,F2Pool,AntPool,AntPool
470613,-10676,1497069548.569,1497069559.245,1497069798.415,-3180,Bixin,BW.COM,BitFury
470930,-17,1497260670.178,1497260670.195,1497261096.923,-4,SlushPool,KanoPool,BTC.TOP
471114,246,1497373176.975,1497373176.729,1497373654.846,2,F2Pool,SlushPool,BW.COM
471190,-856,1497417327.065,1497417327.921,1497418046.807,-98,SlushPool,KanoPool,GBMiners
472040,2610,1497914265.663,1497914263.053,1497915900.194,24,Telco 214,BW.COM,AntPool
472082,-793,1497938205.349,1497938206.142,1497940476.932,-4,BW.COM,BATPOOL,BTC.TOP
472235,25,1498036801.404,1498036801.379,1498037900.408,0,BTC.com,AntPool,AntPool
473064,1578,1498545256.575,1498545254.997,1498546128.546,1176,AntPool,BTCC Pool,AntPool
473586,-1041,1498865321.87,1498865322.911,1498865399.161,-9,BitFury,F2Pool,BitFury
479868,38,1502323224.891,1502323224.853,1502324786.277,9,Bixin,BTC.com,Bixin
488284,-115,1507123509.019,1507123509.134,1507125135.344,-2,BTCC Pool,AntPool,ViaBTC
488470,419,1507253414.824,1507253414.405,1507253854.106,547,BTC.TOP,AntPool,BTC.TOP
489644,-386,1507908433.351,1507908433.737,1507908916.44,-14,ViaBTC,Bixin,AntPool
494676,-114,1510869389.666,1510869389.78,1510869423.942,-5,58COIN,BTC.com,ViaBTC
497373,-205,1512308669.938,1512308670.143,1512309887.864,-139,AntPool,SlushPool,AntPool
503949,573,1515799721.673,1515799721.1,1515800689.006,3,GBMiners,SlushPool,BTC.TOP
525890,-49,1528094834.794,1528094834.843,1528095275.271,-3,AntPool,ViaBTC,F2Pool
